ComplexID,PondID,SiteID,SiteName,Date,Water Temp,Air Temp,Conductivity,Time,Sweep,HabitatType,AB,AT,FT,GT,GF,MF,LF,PF,SP,WF,RSN,Other,Notes
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:29,1,Open water with muck,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:31,2,somewhat grassy,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:34,3,grasses,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:35,4,grasses,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:36,5,grasses,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:38,6,somewhat grassy,0,0,0,0,0,0,0,0,0,0,1,,Adult
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:39,7,grassy,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:40,8,grassy w/ wooded veg,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:42,9,"open area, woody, next to veg",0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:43,10,grasses,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:46,11,grasses,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:47,12,grass next to woody veg,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:48,13,grasses,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:55,14,grassy,0,0,0,0,0,0,0,0,1,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,1:58,15,grass + woody veg,0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,2:00,16,"shaded, open",0,0,0,0,0,0,0,0,0,0,0,,
01,01,01-01,Birds of VT,5/24/2022,20.8,21.9,,2:01,17,open w/ minor veg,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,1:31,1,reeds + grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,1:35,2,reeds + grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,1:40,3,reeds + grass,0,0,0,0,1,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,2:41,4,reeds + grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,2:44,5,channel through grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,2:52,6,channel through grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:02,7,channel through grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:05,8,channel through grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:10,9,channel through grass,0,0,0,0,0,0,0,0,1,0,0,,Saw tads + heard peeper (or bird?) nearby. Caugh fish
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:20,10,channel through grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:22,11,channel through grass,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:51,12,grasses,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,3:59,13,grasses,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,4:01,14,grasses,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,4:05,15,grasses,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,4:08,16,grasses,0,0,0,0,0,0,0,0,0,0,0,,
02,01,02-01,Audubon,6/14/2022,25.6,28.1,,4:10,17,grasses,0,0,0,0,0,0,0,0,0,0,0,,
