ComplexID,PondID,SiteID,Site Name,Date,Water Temp,Air Temp,Conductivity,Time,SpeciesID,Count,A/T,Symptoms,Mortality,Notes,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:33,RSN,6,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:36,RSN,3,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:36,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:42,RSN,2,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:43,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:44,RSN,2,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,10:45,GF,2,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,11:44,RSN,1,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,11:44,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,11:48,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,11:54,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,11:57,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:02,GF,1,T,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:02,RSN,4,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:02,GF,2,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:38,GF,1,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:38,RSN,6,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:38,GF,1,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:40,AB,2,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:40,GF,3,A,,,,,,,,,,,,,
01,01,01-01,Birds of VT,5/24/2022,18.2,18.0,,12:41,AB,1,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,1:20,GF,4,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,1:25,AB,1,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,1:31,GF,1,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,1:37,GF,2,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,2:40,GF,2,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,2:48,GF,3,A/T,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,2:54,GF,2,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:01,GF,1,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:05,GF,3,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:06,GF,2,T,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:10,GF,4,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:19,GF,1,A,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:21,GF,2,T,,,,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:24,,,,,,Frog Eggs,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:31,GF,3,A/T,,,2T & 1A,,,,,,,,,,
02,01,02-01,Audobon,6/14/2022,25.6,28.1,,3:50,Tadpole,3,A,,,Caught RSN post VES colleciton,,,,,,,,,,
03,01,03-01,Gilet,6/14/2022,22.1,22.3,,8:31,GF,2,,,,,,,,,,,,,,
03,01,03-01,Gilet,6/14/2022,22.1,22.3,,8:50,GF,1,,,,,,,,,,,,,,
